Algorithm,InputSize,Run,Time(μs),Energy(J)
bubble,20,355,2,0.0040
bubble,20,356,2,0.0016
bubble,20,357,2,0.0042
bubble,20,358,4,0.0071
bubble,20,359,17,0.0201
bubble,20,360,4,0.0044
bubble,20,361,3,0.0038
bubble,20,362,3,0.0058
bubble,20,363,3,0.0031
bubble,20,364,3,0.0050
bubble,20,365,3,0.0055
bubble,20,366,54,0.0359
bubble,20,367,3,0.0037
bubble,20,368,3,0.0016
bubble,20,369,3,0.0036
bubble,20,370,3,0.0038
bubble,20,371,3,0.0065
bubble,20,372,3,0.0074
bubble,20,373,3,0.0072
bubble,20,374,3,0.0022
bubble,20,375,3,0.0050
bubble,20,376,3,0.0032
bubble,20,377,3,0.0023
bubble,20,378,3,0.0074
bubble,20,379,3,0.0055
bubble,20,380,4,0.0020
bubble,20,381,3,0.0061
bubble,20,382,3,0.0042
bubble,20,383,3,0.0057
bubble,20,384,4,0.0032
bubble,20,385,3,0.0059
bubble,20,386,3,0.0055
bubble,20,387,3,0.0064
bubble,20,388,4,0.0060
bubble,20,389,3,0.0064
bubble,20,390,3,0.0015
bubble,20,391,3,0.0050
bubble,20,392,3,0.0021
bubble,20,393,3,0.0048
bubble,20,394,3,0.0062
bubble,20,395,3,0.0024
bubble,20,396,3,0.0036
bubble,20,397,3,0.0053
bubble,20,398,3,0.0047
bubble,20,399,4,0.0040
bubble,20,400,3,0.0054
